pitcher,pitch_type,pitch_name,family,pitches,usage,whiff,putaway,velo
434378,FF,4-Seam FB,Fastball,115,0.5088495575221239,0.2,0.10526315789473684,93.32260869565218
434378,SL,Slider,Breaking,46,0.20353982300884957,0.3793103448275862,0.38461538461538464,87.39565217391304
434378,CU,Curveball,Breaking,31,0.13716814159292035,0.16666666666666666,0.2,78.16774193548386
445276,FC,Cutter,Fastball,415,0.8350100603621731,0.27040816326530615,0.23529411764705882,92.31084337349398
445276,SL,Slider,Breaking,47,0.09456740442655935,0.28,0.29411764705882354,84.06382978723406
445276,SI,Sinker,Fastball,35,0.07042253521126761,0.3333333333333333,0.38461538461538464,93.46857142857144
453286,FF,4-Seam FB,Fastball,240,0.4819277108433735,0.16153846153846155,0.06382978723404255,93.13208333333334
453286,SL,Slider,Breaking,110,0.22088353413654618,0.2033898305084746,0.2,86.06727272727272
453286,CH,Changeup,Offspeed,79,0.15863453815261044,0.13157894736842105,0.05263157894736842,84.27215189873418
453286,CU,Curveball,Breaking,64,0.1285140562248996,0.21428571428571427,0.09090909090909091,75.9453125
455119,FC,Cutter,Fastball,118,0.4097222222222222,0.2542372881355932,0.1875,91.37033898305086
455119,FF,4-Seam FB,Fastball,76,0.2638888888888889,0.21951219512195122,0.15789473684210525,94.43815789473685
455119,SI,Sinker,Fastball,33,0.11458333333333333,0.05263157894736842,0.0,93.87272727272727
455119,FS,Splitter,Offspeed,32,0.1111111111111111,0.15,0.25,87.734375
471911,CH,Changeup,Offspeed,76,0.3089430894308943,0.21428571428571427,0.11764705882352941,85.72894736842106
471911,SI,Sinker,Fastball,67,0.27235772357723576,0.13333333333333333,0.14285714285714285,90.82089552238804
471911,FC,Cutter,Fastball,38,0.15447154471544716,0.1,0.0,89.47368421052632
471911,SL,Slider,Breaking,34,0.13821138211382114,0.32,0.42857142857142855,86.23235294117647
471911,FF,4-Seam FB,Fastball,31,0.12601626016260162,0.15,0.0,91.76129032258065
472610,SI,Sinker,Fastball,135,0.47038327526132406,0.08695652173913043,0.14285714285714285,94.88148148148149
472610,FS,Splitter,Offspeed,83,0.289198606271777,0.34146341463414637,0.16666666666666666,87.61445783132531
472610,ST,Sweeper,Breaking,64,0.2229965156794425,0.3142857142857143,0.07692307692307693,81.81562499999998
489446,FF,4-Seam FB,Fastball,272,0.6445497630331753,0.3333333333333333,0.34545454545454546,90.85955882352941
489446,FS,Splitter,Offspeed,143,0.33886255924170616,0.35135135135135137,0.3333333333333333,84.53146853146853
500743,EP,EP,Other,43,0.8113207547169812,0.05,0.0,47.18837209302326
500779,FF,4-Seam FB,Fastball,231,0.31048387096774194,0.20168067226890757,0.17073170731707318,89.81688311688313
500779,CH,Changeup,Offspeed,151,0.20295698924731181,0.2898550724637681,0.14285714285714285,85.12251655629139
